Assembly Accession,Group
GCA_007748075.1,Phycisphaerae
GCA_008298035.1,Gimesia
GCA_008035925.1,Pirellula
GCA_007859995.1,Brocadiaceae
GCA_007744515.1,Gimesia
GCA_008065115.1,Bythopirellula
GCA_002443295.1,Brocadiaceae
GCA_007750855.1,Bythopirellula
GCA_007750655.1,Saltatorellus
GCA_009002475.1,Uabimicrobium
GCA_007747215.1,Gemmataceae
GCA_008254045.1,Gemmataceae
GCA_007860005.1,Brocadiaceae
GCA_002007645.1,Phycisphaerae
GCA_007752535.1,Isosphaeraceae
GCA_009664345.1,Orphan
GCA_900232105.1,Brocadiaceae
GCA_007741495.1,Pirellula
GCA_008087625.1,Isosphaeraceae
GCA_001753675.2,Brocadiaceae
GCA_002277955.1,Orphan
GCA_002117005.1,Phycisphaerae
GCA_007748055.1,Orphan
GCA_000196115.1,Pirellula
GCA_000186345.1,Isosphaeraceae
GCA_007748135.1,Gimesia
GCA_007753265.1,Bythopirellula
GCA_007745835.1,Bythopirellula
GCA_008087665.1,Pirellula
GCA_000284115.1,Phycisphaerae
GCA_001610855.1,Gemmataceae
GCA_000296795.1,Brocadiaceae
GCA_009177095.1,Bythopirellula
GCA_007751255.1,Saltatorellus
GCA_000242455.3,Isosphaeraceae
GCA_007748095.1,Saltatorellus
GCA_007751475.1,Saltatorellus
GCA_001610895.1,Isosphaeraceae
GCA_007745175.1,Gimesia
GCA_000949635.1,Brocadiaceae
GCA_007753915.1,Phycisphaerae
GCA_007744975.1,Gimesia
GCA_003149495.1,Gemmataceae
GCA_007748115.1,Pirellula
GCA_901538355.1,Gemmataceae
GCA_000019965.1,Outgroup
GCA_000019665.1,Outgroup
GCA_001499655.1,Outgroup
GCA_000648235.2,Outgroup
GCA_000242935.3,Outgroup
GCA_007475525.1,Outgroup
GCA_000972765.1,Outgroup
GCA_001017655.1,Outgroup
GCA_900097105.1,Outgroup
GCA_002310495.1,Outgroup
GCA_001746835.1,Outgroup
GCA_000020225.1,Outgroup
GCA_001688765.2,Outgroup
GCA_000237205.1,Outgroup
GCA_004299845.1,Outgroup
GCA_002998355.1,Outgroup
GCA_001318295.1,Outgroup
GCA_000092785.1,Outgroup
GCA_000253035.1,Outgroup
GCA_000025905.1,Outgroup
